place,title,time,pay,date
경기 고양시,홈플러스 익스프레스 후곡점,07:30~13:30,"시급8,590",2시간전
서울 송파구,홈플러스 익스프레스 거여점,17:00~24:00,"월급1,614,920",4시간전
경기 화성시,홈플러스 익스프레스 화성반월점,14:00~18:00,"시급8,590",5시간전
경기 화성시,홈플러스 익스프레스 화성반월점,14:00~18:00,"시급8,590",5시간전
경기 용인시,홈플러스 익스프레스 용인죽전점,16:00~23:00,"시급8,590",04/17
경기 용인시,홈플러스 익스프레스 용인죽전점,17:00~24:00,"시급8,590",04/17
서울 서초구,홈플러스 익스프레스 서초점,08:00~14:00,"월급1,348,630",04/12
경기 성남시,홈플러스 익스프레스 분당점,17:00~22:00,"시급8,590",04/11
경기 성남시,홈플러스 익스프레스 푸른마을점,16:00~22:00,"월급1,348,630",04/05
경기 성남시,홈플러스 익스프레스 푸른마을점,18:00~24:00,"월급1,348,630",04/04
